"","time","S","I","R"
"1",1,997,10,0
"2",2,995.9,10.5,0.6
"3",3,994,11.5,1.5
"4",4,992.2,12.2,2.6
"5",5,989.9,13.5,3.6
"6",6,987.7,14.1,5.2
"7",7,986,15.2,5.8
"8",8,983.1,17.4,6.5
"9",9,981,18.8,7.2
"10",10,978.5,19.7,8.8
"11",11,975.3,22,9.7
"12",12,972.4,22.9,11.7
"13",13,969.4,24.3,13.3
"14",14,964.5,27.8,14.7
"15",15,959,31.4,16.6
"16",16,953.6,35.1,18.3
"17",17,946.3,40.5,20.2
"18",18,940.8,43.6,22.6
"19",19,932.8,47.5,26.7
"20",20,926.2,50.7,30.1
"21",21,919.6,53,34.4
"22",22,911.9,56.9,38.2
"23",23,903.2,61.7,42.1
"24",24,894.7,66.9,45.4
"25",25,885.8,71.6,49.6
"26",26,875.2,76.4,55.4
"27",27,863.6,83.1,60.3
"28",28,852.7,88.3,66
"29",29,839,94.9,73.1
"30",30,825.2,103,78.8
"31",31,811.4,109.2,86.4
"32",32,798.9,114.5,93.6
"33",33,784.4,122,100.6
"34",34,769.6,127.3,110.1
"35",35,754,134,119
"36",36,737.5,141.9,127.6
"37",37,719.3,149.3,138.4
"38",38,699.9,158.4,148.7
"39",39,678.8,166.8,161.4
"40",40,659,174.7,173.3
"41",41,638.2,184.2,184.6
"42",42,619.9,191.6,195.5
"43",43,600,199.1,207.9
"44",44,578.5,205.7,222.8
"45",45,559.7,209.5,237.8
"46",46,539.3,216.1,251.6
"47",47,519.4,222.1,265.5
"48",48,499.2,228.9,278.9
"49",49,477.2,232,297.8
"50",50,459.1,232.7,315.2
"51",51,442,235.9,329.1
"52",52,422.5,238.4,346.1
"53",53,406.9,239.2,360.9
"54",54,389.6,238.3,379.1
"55",55,373.8,238,395.2
"56",56,358.4,238,410.6
"57",57,343.8,237,426.2
"58",58,329.8,234.5,442.7
"59",59,317.5,231.1,458.4
"60",60,304.3,227.1,475.6
"61",61,292.4,222.9,491.7
"62",62,280.7,219.7,506.6
"63",63,269.6,216.7,520.7
"64",64,260.3,211.8,534.9
"65",65,250.6,207.1,549.3
"66",66,241,201.4,564.6
"67",67,232.3,196.7,578
"68",68,225.8,189,592.2
"69",69,218.6,183.5,604.9
"70",70,211.4,176.8,618.8
"71",71,204.4,171.6,631
"72",72,198.2,164.2,644.6
"73",73,193.5,158,655.5
"74",74,188,153.6,665.4
"75",75,181.3,149.3,676.4
"76",76,176.5,143.8,686.7
"77",77,171.4,139.2,696.4
"78",78,168,132.3,706.7
"79",79,164,127.8,715.2
"80",80,160.6,122.4,724
"81",81,158,116,733
"82",82,154.9,110.6,741.5
"83",83,152.2,103.5,751.3
"84",84,149.1,98.7,759.2
"85",85,145.9,95.7,765.4
"86",86,143.3,91.5,772.2
"87",87,140.7,87,779.3
"88",88,138.4,82.6,786
"89",89,136.9,77.8,792.3
"90",90,135,74.1,797.9
"91",91,133.3,70.9,802.8
"92",92,132.3,66.1,808.6
"93",93,131.1,62.8,813.1
"94",94,129.4,61.1,816.5
"95",95,127.2,59.3,820.5
"96",96,125.6,57.3,824.1
"97",97,124,54.8,828.2
"98",98,123,51.2,832.8
"99",99,122,48.5,836.5
"100",100,120.9,45.5,840.6
"101",101,119.2,43.8,844
"102",102,118.1,42.1,846.8
"103",103,117.3,39.4,850.3
"104",104,116.5,37.7,852.8
"105",105,115.6,35.8,855.6
"106",106,115.4,34.5,857.1
"107",107,114.3,33.2,859.5
"108",108,113.6,31.3,862.1
"109",109,113.2,29.5,864.3
"110",110,112.8,28.7,865.5
"111",111,112.3,26.8,867.9
"112",112,111.6,25.2,870.2
"113",113,111.1,23.3,872.6
"114",114,110.6,22.5,873.9
"115",115,110,21.8,875.2
"116",116,109.4,20.8,876.8
"117",117,109,20,878
"118",118,108.6,18.8,879.6
"119",119,108.1,18.3,880.6
"120",120,107.5,17.3,882.2
"121",121,107.2,16.2,883.6
"122",122,106.6,15.8,884.6
"123",123,106.2,15.5,885.3
"124",124,106,14.9,886.1
"125",125,105.8,13.8,887.4
"126",126,105.4,13.4,888.2
"127",127,105.2,12.8,889
"128",128,105.1,11.8,890.1
"129",129,105,11.3,890.7
"130",130,104.5,11.1,891.4
"131",131,104.3,10.9,891.8
"132",132,104.2,9.9,892.9
"133",133,104.2,8.9,893.9
"134",134,104,9,894
"135",135,103.9,8.9,894.2
"136",136,103.9,8.5,894.6
"137",137,103.8,8.3,894.9
"138",138,103.7,7.9,895.4
"139",139,103.5,7.9,895.6
"140",140,103.5,7.1,896.4
